frame,gt_pilot_dense_feature_loss,init_pilot_dense_feature_loss,refined_pilot_dense_feature_loss,gt_minus_init_loss,gt_minus_refined_loss,gt_chamfer,gt_overlap,rgb_mae,rgb_mse,rgb_psnr_db,valid_depth_ratio
000042.jpg,7.256615814791682e-05,0.0026518225010174015,0.00443658900136749,-0.002579256342869485,-0.004364022843219573,0.16709187626838684,0.9609607024491026,2.390494452582465,10.751395225524902,37.816155338788015,1.0
000043.jpg,7.354055924224667e-05,0.002604611567221582,0.004413722936684887,-0.0025310710079793353,-0.00434018237744264,0.16426455974578857,0.9609288849488637,2.3944600423177085,10.77590274810791,37.80626697617595,1.0
000044.jpg,7.433870996464975e-05,0.0026002541417255998,0.004447742908572157,-0.00252591543176095,-0.004373404198607507,0.17062188684940338,0.9601899827288428,2.397584703233507,10.795866012573242,37.79822874976131,1.0
000045.jpg,7.417944046513487e-05,0.0026543891290202737,0.004486640527223547,-0.0025802096885551387,-0.004412461086758412,0.16287845373153687,0.9607872758270928,2.3871273464626737,10.706501007080078,37.834327986821364,1.0
000046.jpg,7.832235375341649e-05,0.0026569232965509095,0.004428629452983539,-0.002578600942797493,-0.004350307099230122,0.16938501596450806,0.9588769082950784,2.3970845540364585,10.79331111907959,37.799256650125045,1.0
000047.jpg,7.821051985956728e-05,0.0026256604469381273,0.0044049161951988935,-0.00254744992707856,-0.004326705675339326,0.17312224209308624,0.9574380523306186,2.4013180202907987,10.798830032348633,37.79703655197523,1.0
000048.jpg,8.819796736740197e-05,0.002674134292950233,0.004540168447420001,-0.002585936325582831,-0.004451970480052599,0.18011924624443054,0.9574099055694739,2.3991207546657987,10.809925079345703,37.79257676881251,1.0
000049.jpg,8.892809880004886e-05,0.002589647968610128,0.004220305592752993,-0.002500719869810079,-0.004131377493952944,0.18226906657218933,0.9552865454700454,2.397669474283854,10.763948440551758,37.81108752047235,1.0
000050.jpg,8.140627445148614e-05,0.002642846006589631,0.0046617208669583006,-0.002561439732138145,-0.004580314592506815,0.19065622985363007,0.953345584261161,2.3980305989583335,10.79115104675293,37.80012589346121,1.0
000051.jpg,0.00010857391074144591,0.0026031739932174482,0.004581567365676165,-0.002494600082476002,-0.004472993454934719,0.1855747401714325,0.9534614737550471,2.3995836046006946,10.8045654296875,37.79473057051163,1.0
000052.jpg,8.548394180252217e-05,0.002616556671758493,0.004476759660368164,-0.0025310727299559708,-0.004391275718565642,0.18176087737083435,0.9554668828951861,2.401735093858507,10.835359573364258,37.7823703283212,1.0
000053.jpg,9.595482940009485e-05,0.0026214778190478683,0.004481545339028041,-0.0025255229896477735,-0.004385590509627946,0.16804508864879608,0.9605285556217551,2.4031609429253473,10.84532642364502,37.77837732885207,1.0
000054.jpg,8.866362865470971e-05,0.002587103323700527,0.00445013795979321,-0.0024984396950458176,-0.0043614743311385,0.1789684295654297,0.9562346927909701,2.4071214463975696,10.86138916015625,37.771949862589416,1.0
000055.jpg,8.339021951542236e-05,0.002664272343584647,0.004541129727537434,-0.0025808821240692246,-0.004457739508022011,0.18496516346931458,0.9550552233406397,2.403438991970486,10.854801177978516,37.77458487761727,1.0
000056.jpg,8.14526744458514e-05,0.0026526573734978833,0.004492398506651322,-0.002571204699052032,-0.004410945832205471,0.16909243166446686,0.9599074133061519,2.4059821234809027,10.87419605255127,37.76683202169697,1.0
