frame_id,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,refined_east,refined_north,refined_alt,refined_yaw,selected_method,init_xy_error_m,refined_xy_error_m,selected_xy_error_m,init_alt_error_m,refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,refined_chamfer,gt_chamfer,init_overlap,refined_overlap,gt_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,safe_gate_accepted,refine_success,renderer_backend_init,renderer_backend_refined,renderer_backend_gt,elapsed_ms,renderer_fallback_gt,renderer_fallback_init,renderer_fallback_refined
000046.jpg,254498.87846007897,3364593.148770106,107.963,29.19999999999999,254496.59037741576,3364590.9459172846,107.766,28.073230999999993,254499.4653137568,3364591.3818706917,108.16164144873619,-153.05742423810773,init,3.1761427591638522,1.8618084701885853,3.1761427591638522,0.19699999999998852,0.19864144873619693,0.19699999999998852,1.126768999999996,177.74257576189228,1.126768999999996,0.9140989184379578,0.963054358959198,,0.8519383961763144,0.8377942998760842,,0.003166252359127005,0.004433546642151971,-0.0012672942830249663,False,True,prototype,prototype,,127.57475000000795,,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000047.jpg,254499.3663192911,3364594.0216884497,108.063,29.19999999999999,254500.23969541822,3364592.2991917715,106.994,27.50839400000001,254500.75020778278,3364590.309813627,107.11036276817322,-154.18098336315873,init,1.9312640072184801,3.9614595865966096,1.9312640072184801,1.0690000000000026,0.9526372318267846,1.0690000000000026,1.6916059999999788,176.61901663684125,1.6916059999999788,0.9274570345878601,0.9972431063652039,,0.8507446808510638,0.8256914893617021,,0.0034861405535290637,0.006143960791329543,-0.0026578202378004794,False,True,prototype,prototype,,149.55171100001508,,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000048.jpg,254499.8541784295,3364594.894606811,108.127,29.19999999999999,254503.79012815637,3364595.027389651,106.96,29.216755000000006,254501.12685448097,3364591.2811480435,107.44159816391766,-150.76796492626698,refined,3.9381888648368575,3.8310297044879036,3.8310297044879036,1.1670000000000016,0.6854018360823346,0.6854018360823346,0.016755000000017617,179.96796492626697,179.96796492626697,0.9527958035469055,0.9242236614227295,,0.8356348462612939,0.8436975087080291,,0.0027223110664635897,0.00285283598350361,-0.00013052491704002023,True,True,prototype,prototype,,109.92325800003755,,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000049.jpg,254500.342037746,3364595.7675362774,108.423,29.19999999999999,254495.6741981027,3364601.1362355524,106.899,30.157505000000015,254493.2647310408,3364607.6369385584,107.27177345193923,-148.8809778969322,init,7.114187152486687,13.819225040065728,7.114187152486687,1.524000000000001,1.1512265480607766,1.524000000000001,0.957505000000026,178.08097789693218,0.957505000000026,0.9685739278793335,1.014145016670227,,0.8308320028383892,0.8164626574419017,,0.004787134006619453,0.007735952114065488,-0.0029488181074460345,False,True,prototype,prototype,,118.35605699997132,,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000050.jpg,254500.8298967411,3364596.6404546727,108.986,29.19999999999999,254502.4607754522,3364592.2904305407,109.286,31.194344,254505.27442170636,3364588.276475974,109.57032595667988,-146.8047087831883,init,4.645694277476121,9.471533236046463,4.645694277476121,0.29999999999999716,0.5843259566798764,0.29999999999999716,1.9943440000000123,176.00470878318828,1.9943440000000123,0.933617115020752,0.9722203612327576,,0.8460582386363636,0.8305397727272728,,0.00446720343704025,0.006758075052251418,-0.0022908716152111683,False,True,prototype,prototype,,120.49488099995642,,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000051.jpg,254501.31775566272,3364597.513373088,109.47,29.19999999999999,254502.72048852473,3364598.2964227013,110.419,29.52180899999999,254500.8994642407,3364597.3422817127,110.75113492459059,-150.16303528705456,refined,1.6064949981140477,0.45192916753578705,0.45192916753578705,0.9489999999999981,1.2811349245905888,1.2811349245905888,0.3218090000000018,179.36303528705454,179.36303528705454,0.8015150427818298,0.7610310316085815,,0.9070975289821676,0.9139043499840465,,0.0012085735603856544,0.0012755753899303575,-6.700182954470302e-05,True,True,prototype,prototype,,117.21656700001404,,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000052.jpg,254501.8056243737,3364598.3863023897,109.903,29.19999999999999,254502.8148914028,3364598.006163149,110.535,27.31723199999999,254502.43362399572,3364596.736226604,110.67018075287342,-154.56257068956288,init,1.078483091317743,1.7655406039509705,1.078483091317743,0.6319999999999908,0.7671807528734149,0.6319999999999908,1.8827679999999987,176.23742931043716,1.8827679999999987,0.9473922252655029,0.9977571368217468,,0.8410584328410937,0.8263972302692009,,0.0036684289031351605,0.006504322091738383,-0.002835893188603223,False,True,prototype,prototype,,125.57948000005581,,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000053.jpg,254502.29348315197,3364599.25922084,105.101,29.19999999999999,254504.66876680404,3364597.743319407,104.01,29.930498,254504.19660177908,3364594.4668952455,104.37390380818397,-149.33905045734977,init,2.8177880654662877,5.15637906987246,2.8177880654662877,1.090999999999994,0.727096191816031,1.090999999999994,0.7304980000000114,178.53905045734976,0.7304980000000114,0.8563929200172424,0.9293696284294128,,0.873042000743376,0.8452715977273934,,0.002232455493261417,0.0040304660021017,-0.001798010508840283,False,True,prototype,prototype,,128.0968109999776,,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000054.jpg,254502.78134185664,3364600.132139307,100.478,29.19999999999999,254507.86020275837,3364603.0171724036,99.962,30.596118999999987,254502.34218852327,3364599.959612275,100.03033752925694,-148.01559777425155,init,5.841082436323703,0.47182753943646977,5.841082436323703,0.5159999999999911,0.44766247074305454,0.5159999999999911,1.3961189999999988,177.21559777425153,1.3961189999999988,0.9700512290000916,0.9712461829185486,,0.8325760533882361,0.8304107060452238,,0.004704439469302694,0.00516180251725018,-0.00045736304794748595,False,True,prototype,prototype,,137.84173999999894,,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000055.jpg,254503.2692007406,3364601.00506888,98.951,29.19999999999999,254501.906576115,3364600.63300189,99.04,24.565563999999995,254502.93115754882,3364601.2325870506,99.13600227516145,-160.0680225665304,init,1.4125083062805972,0.40747726004304474,1.4125083062805972,0.08900000000001285,0.18500227516145173,0.08900000000001285,4.634435999999994,170.73197743346964,4.634435999999994,1.0228310823440552,1.0319347381591797,,0.8190647290062079,0.8167701310944698,,0.007495057924340169,0.01004710809017221,-0.002552050165832042,False,True,prototype,prototype,,121.4179369999897,,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
