alt,alt_error_m,east,frame_id,init_xy_error_m,method,north,strategy,xy_error_m,yaw,yaw_error_deg
99.498,0.26400000000001,254503.9030082926,000068.jpg,6.070978404380088,init,3364610.2863399507,init_only,6.070978404380088,30.471406,1.2714060000000131
99.581,0.46999999999999886,254510.59593040636,000069.jpg,0.5148464563544212,init,3364613.3614717303,init_only,0.5148464563544212,28.778048000000013,0.4219519999999761
99.226,0.29399999999999693,254514.11795562058,000070.jpg,3.5589119870711006,init,3364614.5448238812,init_only,3.5589119870711006,30.281598000000002,1.0815980000000138
100.401,1.5289999999999964,254507.9034518324,000071.jpg,3.8190885836541297,init,3364612.8441378423,init_only,3.8190885836541297,29.87061700000001,0.6706170000000213
98.462,0.4819999999999993,254510.71496848,000072.jpg,1.3297943097600868,init,3364616.8691949225,init_only,1.3297943097600868,29.75713300000001,0.5571330000000216
104.624,1.5769999999999982,254510.0530599298,000073.jpg,2.162438500588091,init,3364617.545716725,init_only,2.162438500588091,31.86184,2.661840000000012
106.243,0.22299999999999898,254510.99966365195,000074.jpg,4.987090912109113,init,3364612.846860645,init_only,4.987090912109113,28.458008000000007,0.741991999999982
107.088,0.39799999999999613,254513.48358482402,000075.jpg,3.4660361893373532,init,3364615.0277581275,init_only,3.4660361893373532,36.447135,7.247135000000014
106.627,0.31100000000000705,254509.6782479821,000076.jpg,3.967545636953788,init,3364620.349573616,init_only,3.967545636953788,29.585217,0.38521700000001147
107.643,0.45999999999999375,254508.56668620012,000077.jpg,6.439504465275706,init,3364616.756323733,init_only,6.439504465275706,29.123164000000003,0.07683599999998592
107.526,0.17399999999999238,254519.39568650533,000078.jpg,5.341978595359967,init,3364618.9678782835,init_only,5.341978595359967,35.026242999999994,5.826243000000005
107.48,0.036000000000001364,254512.68114691807,000079.jpg,3.5534432899799873,init,3364619.2436964037,init_only,3.5534432899799873,29.110874999999993,0.08912499999999568
106.869,0.7560000000000002,254517.99818890498,000080.jpg,2.562157450642094,init,3364623.2168479743,init_only,2.562157450642094,29.62284299999999,0.4228430000000003
104.917,2.7819999999999965,254523.86934244988,000081.jpg,8.787287317620725,init,3364627.516360666,init_only,8.787287317620725,28.915965999999997,0.28403399999999124
107.569,0.17300000000000182,254513.8161415884,000082.jpg,3.2213205333053527,init,3364626.4407482594,init_only,3.2213205333053527,33.065391000000005,3.8653910000000167
107.911,0.18600000000000705,254519.72297610994,000083.jpg,3.8652456282868726,init,3364628.1180878044,init_only,3.8652456282868726,29.119405,0.0805949999999882
108.24,0.5339999999999918,254518.4376644952,000084.jpg,4.017617534597836,init,3364630.205640848,init_only,4.017617534597836,28.497735000000006,0.7022649999999828
107.49,0.07800000000000296,254521.7302468302,000085.jpg,3.868432721461126,init,3364627.7690560403,init_only,3.868432721461126,27.617245999999994,1.5827539999999942
104.627,2.7920000000000016,254516.69486906493,000086.jpg,2.5542374936715295,init,3364626.157512979,init_only,2.5542374936715295,31.23369199999999,2.033692000000002
108.323,1.0459999999999923,254520.58013813235,000087.jpg,1.8169398444817435,init,3364628.2957548373,init_only,1.8169398444817435,30.075975999999997,0.8759760000000085
106.847,0.2330000000000041,254520.48326827053,000088.jpg,7.507507308845879,init,3364622.3872068333,init_only,7.507507308845879,30.264377999999994,1.064378000000005
108.293,1.426000000000002,254524.68548927052,000089.jpg,7.334846152980117,init,3364636.205301124,init_only,7.334846152980117,26.876780999999994,2.3232189999999946
106.638,0.027000000000001023,254513.7512759876,000090.jpg,6.811513605774411,init,3364633.2687469604,init_only,6.811513605774411,31.125107000000014,1.9251070000000254
104.854,1.5,254520.45449511916,000091.jpg,0.7597707093780388,init,3364633.0895229126,init_only,0.7597707093780388,30.096019000000013,0.8960190000000239
106.513,0.4590000000000032,254519.98531239422,000092.jpg,1.6981790925085674,init,3364634.3531368845,init_only,1.6981790925085674,28.965555999999992,0.23444399999999632
106.528,0.7600000000000051,254522.75826978098,000093.jpg,0.9512814974057557,init,3364634.135284934,init_only,0.9512814974057557,30.203485999999998,1.0034860000000094
107.742,1.7439999999999998,254520.65407272658,000094.jpg,2.40950245050013,init,3364633.28531603,init_only,2.40950245050013,28.996808999999985,0.2031910000000039
105.949,0.5640000000000072,254525.75901221222,000095.jpg,3.2009292923775057,init,3364637.102105765,init_only,3.2009292923775057,27.70205200000001,1.4979479999999796
107.638,0.6150000000000091,254523.6318235701,000096.jpg,0.8501279967640029,init,3364637.5648355316,init_only,0.8501279967640029,26.666133000000002,2.5338669999999865
108.999,1.600999999999999,254521.9752549637,000097.jpg,1.8066093004164898,init,3364637.3831933797,init_only,1.8066093004164898,24.47964300000001,4.720356999999979
107.763,0.4310000000000116,254525.56449762746,000098.jpg,2.088113075222963,init,3364636.9205742124,init_only,2.088113075222963,28.216042000000016,0.9839579999999728
107.315,0.3539999999999992,254525.82868009683,000099.jpg,4.81964684200742,init,3364644.1075539007,init_only,4.81964684200742,30.0668,0.866800000000012
111.36913006566465,1.413130065664646,254472.73831786687,000000.jpg,4.08052824670161,refined,3364558.955059821,raw_refined_only,7.01495993747442,-152.84034801429718,177.95965198570286
